data_group,dataset_id,source_name,source_description,source_type,domain,has_audio,has_transcript,has_timestamp,has_speaker_label,has_role_label,has_clinical_fact,has_soap_note,license_status,consent_status,allowed_use,contains_phi,governance_status,retention_policy,target_zone,priority,owner,notes
B_ASR_SPEECH,B_VIET_BUD500,viet_bud500,"Kho speech tự nhiên/podcast tiếng Việt khoảng 500 giờ, giúp tăng khả năng xử lý speech tự nhiên.",public,general_speech,yes,yes,partial,no,no,no,no,needs_review,not_applicable,evaluation;demo,no,pending_review,keep_versioned,bronze;silver;evaluation,P2_EVALUATE_LATER,Duy,Cần kiểm tra nguồn audio và license; không phải speech y khoa.
B_ASR_SPEECH,B_VIETSUPERSPEECH,VietSuperSpeech,Nguồn speech tiếng Việt/hội thoại quy mô lớn dùng làm bridge conversational ASR nếu license phù hợp.,public,general_speech,yes,yes,partial,partial,no,no,no,needs_review,not_applicable,reference_only,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation,P2_EVALUATE_LATER,Duy,"Cần xác minh thành phần nguồn, license và điều kiện sử dụng trước training hoặc pilot."
B_ASR_SPEECH,B_VIVOS,VIVOS,"Read speech tiếng Việt trong môi trường yên tĩnh, phù hợp benchmark học thuật nhỏ.",public,general_speech,yes,yes,clip,speaker_id,no,no,no,non_commercial,not_applicable,evaluation;reference_only,no,needs_legal_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,Phi thương mại; không dùng cho commercial/pilot; không phải hội thoại y khoa.
B_ASR_SPEECH,B_VIVOICE,viVoice,"Dataset speech đa speaker từ nguồn YouTube đã xử lý, có giá trị acoustic diversity cho nghiên cứu.",public,general_speech,yes,yes,clip,partial,no,no,no,research_only,unknown,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation,P2_EVALUATE_LATER,Duy,Research-only/gated và nguồn YouTube; không dùng commercial nếu chưa review.
B_ASR_SPEECH,B_FLEURS_VI,FLEURS vi,"Benchmark speech đa ngữ phần tiếng Việt, hữu ích để so sánh ASR đa ngôn ngữ.",public,general_speech,yes,yes,segment,no,no,no,no,needs_review,not_applicable,evaluation;reference_only,no,pending_review,keep_versioned,evaluation,P2_EVALUATE_LATER,Duy,"Không y khoa, không dialogue; dùng làm benchmark phụ."
B_ASR_SPEECH,B_VINBIGDATA_VLSP2020,VinBigdata/VLSP2020,"Nguồn speech tiếng Việt từ VinBigdata/VLSP, có thể tham khảo cho ASR tiếng Việt tổng quát.",public,general_speech,yes,yes,unknown,no,no,no,no,needs_review,not_applicable,reference_only,no,needs_legal_review,keep_versioned,bronze;silver;evaluation,P3_REFERENCE_ONLY,Duy,Điều kiện truy cập/usage cần xác minh trước khi ingest.
B_ASR_SPEECH,B_ASR_VIETNAMESE,ASR-Vietnamese,"Repo cộng đồng tổng hợp dữ liệu/model ASR tiếng Việt, chủ yếu dùng tham khảo kỹ thuật.",public,general_speech,yes,yes,unknown,no,no,no,no,needs_review,unknown,reference_only,depends_on_source,needs_legal_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,Có thể trùng hoặc pha nhiều nguồn; cần kiểm tra nguồn gốc từng thành phần.
B_ASR_SPEECH,B_AMI_MEETING_CORPUS,AMI Meeting Corpus,"Corpus meeting tiếng Anh có speaker annotations, dùng tham khảo diarization và overlap kỹ thuật.",public,diarization_benchmark,yes,yes,yes,yes,partial,no,no,needs_review,not_applicable,evaluation;reference_only,no,pending_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,Khác ngôn ngữ và không clinical; chỉ dùng benchmark/reference diarization.
B_ASR_SPEECH,B_ALIMEETING,AliMeeting,Corpus meeting tiếng Quan thoại hỗ trợ benchmark diarization/overlap trong điều kiện meeting.,public,diarization_benchmark,yes,yes,yes,yes,no,no,no,needs_review,not_applicable,evaluation;reference_only,no,pending_review,keep_versioned,evaluation,P2_EVALUATE_LATER,Duy,Khác ngôn ngữ/miền; dùng để benchmark kỹ thuật nếu cần.
C_MEDICAL_NLP,C_VIETMED_NER,VietMed-NER,"Dataset NER y tế tiếng Việt từ transcript/speech y khoa, dùng cho entity extraction và dictionary seed.",public,medical_text,partial,yes,partial,partial,partial,entity_only,no,needs_review,not_applicable,evaluation;demo,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation;dictionary,P1_INGEST_SUBSET,Duy,Rất hữu ích cho fact extraction v0.1 nhưng cần review license trước training rộng.
C_MEDICAL_NLP,C_VIMQ,ViMQ,"Câu hỏi bệnh nhân từ tư vấn trực tuyến, có NER/intent cho symptom, procedure, medicine và ý định hỏi.",public,medical_text,no,yes,no,no,partial,entity_only,no,needs_review,unknown,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation;dictionary,P1_INGEST_SUBSET,Duy,Web-sourced; cần kiểm tra license/terms trước training hoặc pilot.
C_MEDICAL_NLP,C_VIETNAMESE_MEDICAL_QA,Vietnamese Medical QA,"QA y tế tiếng Việt dùng bootstrap phrasing y tế phổ thông, fact templates và dictionary aliases.",public,medical_text,no,yes,no,no,no,partial,no,clear,not_applicable,training;evaluation;demo;dictionary,depends_on_source,approved_internal,keep_versioned,bronze;silver;evaluation;dictionary,P1_INGEST_SUBSET,Duy,Không phải encounter/note; dùng tốt cho language patterns và terminology mining.
C_MEDICAL_NLP,C_VIHEALTHQA,ViHealthQA,"QA-passage healthcare tiếng Việt, hữu ích cho grounding/RAG và phrasing y tế.",public,medical_text,no,yes,no,no,no,partial,no,needs_review,unknown,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation,P2_EVALUATE_LATER,Duy,"Website-sourced, license chưa rõ; cần review trước ingest sâu."
C_MEDICAL_NLP,C_VIMEDAQA,ViMedAQA,"Medical abstractive QA tiếng Việt, có đoạn văn và câu hỏi-trả lời theo chủ đề y tế.",public,medical_text,no,yes,no,no,no,partial,no,research_only,not_applicable,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,evaluation,P2_EVALUATE_LATER,Duy,Educational/research-only; không dùng commercial/pilot nếu chưa có quyền.
C_MEDICAL_NLP,C_VI_MEDNLI,vi_mednli,"Biomedical/clinical NLI tiếng Việt hỗ trợ kiểm tra entailment, contradiction và assertion gián tiếp.",public,medical_text,no,yes,no,no,no,partial,no,clear,not_applicable,training;evaluation;demo,no,approved_internal,keep_versioned,bronze;silver;evaluation,P1_INGEST_SUBSET,Duy,Không thay thế span-level negation corpus; dùng làm auxiliary/evaluation cho consistency.
C_MEDICAL_NLP,C_VIHEALTHNLI,ViHealthNLI,"Healthcare NLI tiếng Việt, có sentence pairs để hỗ trợ contradiction/entailment evaluation.",public,medical_text,no,yes,no,no,no,partial,no,needs_review,not_applicable,evaluation;reference_only,unknown,needs_legal_review,keep_versioned,evaluation,P2_EVALUATE_LATER,Duy,Truy cập và license dataset cần xác minh riêng.
C_MEDICAL_NLP,C_PHONER_COVID19,PhoNER_COVID19,"NER tiếng Việt miền COVID/public health, hữu ích làm reference cho NER và de-identification patterns.",public,medical_text,no,yes,no,no,no,entity_only,no,needs_review,not_applicable,evaluation;reference_only,depends_on_source,pending_review,keep_versioned,bronze;silver;evaluation,P3_REFERENCE_ONLY,Duy,"Lệch miền outpatient; dùng tham khảo NER, không xem là clinical encounter corpus."
C_MEDICAL_NLP,C_VIETBIONER,VietBioNER,"Biomedical NER tiếng Việt từ văn bản học thuật/y sinh, hỗ trợ thuật ngữ chính thức.",public,medical_text,no,yes,no,no,no,entity_only,no,needs_review,not_applicable,evaluation;reference_only,no,pending_review,keep_versioned,evaluation;dictionary,P3_REFERENCE_ONLY,Duy,Khác hội thoại ngoại trú; dùng reference và dictionary seed nếu license rõ.
C_MEDICAL_NLP,C_VIMEDNER,ViMedNER,"Nguồn medical NER tiếng Việt được nhắc trong research, cần xác minh data/code/access.",public,medical_text,no,yes,unknown,unknown,unknown,entity_only,unknown,unknown,unknown,not_allowed_yet,unknown,needs_legal_review,keep_versioned,evaluation,P2_EVALUATE_LATER,Duy,Chỉ đưa vào inventory; chưa ingest trước khi xác minh access và license.
D_TERMINOLOGY,D_DAV_DRUGBANK_VN,DAV / DrugBank Việt Nam,"Nguồn thuốc Việt Nam gồm hoạt chất, tên thuốc, dạng bào chế, nhà sản xuất và thông tin đăng ký.",public,terminology,no,yes,no,no,no,partial,no,needs_review,not_applicable,dictionary;demo;evaluation,no,pending_review,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Rất quan trọng cho medication dictionary; cần review quyền crawl/cache nếu tự động hóa.
D_TERMINOLOGY,D_WHO_ICD10_BROWSER,WHO ICD-10 Browser,Nguồn ICD-10 chính thức làm backbone cho diagnosis/problem coding candidates.,public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,"Dùng alias tiếng Việt trong local dictionary, không tự động kết luận diagnosis nếu chưa có bác sĩ confirm."
D_TERMINOLOGY,D_ICD10_BYT_VN,ICD-10 trong văn bản/BYT,"Nguồn ICD-10 theo bối cảnh vận hành Việt Nam, hỗ trợ mapping bệnh trong cơ sở khám chữa bệnh.",public,terminology,no,yes,no,no,no,partial,no,needs_review,not_applicable,dictionary;demo;evaluation,no,pending_review,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Cần lưu nguồn văn bản/cổng chính phủ và version để audit.
D_TERMINOLOGY,D_RXNORM_RXNAV,RxNorm/RxNav,"Chuẩn hóa thuốc/hoạt chất quốc tế, dùng mapping thuốc Việt Nam sang active ingredient/coding candidates.",public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Không Việt hóa sẵn; dùng crosswalk từ local drug terms khi có thể.
D_TERMINOLOGY,D_ATC_DDD,ATC/DDD,"Hệ phân nhóm thuốc ATC/DDD, dùng bổ sung drug class cho medication normalization.",public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Dùng song song với local drug registry và RxNorm; cần giữ attribution nguồn.
D_TERMINOLOGY,D_LOINC,LOINC,"Chuẩn thuật ngữ lab, vital và observation, cần cho FHIR-ready clinical fact schema.",public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Tuân thủ điều kiện attribution/terms của LOINC; không tạo chuẩn thay thế.
D_TERMINOLOGY,D_SNOMED_CT,SNOMED CT,"Clinical terminology tổng quát cho findings, procedures và body structures, hữu ích dài hạn nhưng nặng cho MVP.",public,terminology,no,yes,no,no,no,partial,no,needs_review,not_applicable,dictionary;reference_only,no,needs_legal_review,keep_versioned,dictionary,P2_EVALUATE_LATER,Duy,Không làm blocker MVP v0.1; license phụ thuộc jurisdiction/agreement.
D_TERMINOLOGY,D_HL7_TERMINOLOGY_FHIR_THO,HL7 Terminology / FHIR THO,"Code systems và value sets của HL7/FHIR, dùng để giữ schema và mappings FHIR-ready.",public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Dùng URI chuẩn trong FHIR resources và canonical fact schema.
D_TERMINOLOGY,D_VI_PUBMED,vi_pubmed,"Biomedical bilingual corpus Anh-Việt, hữu ích cho mining synonym/phrase y sinh nhưng không phải code system.",public,terminology,no,yes,no,no,no,partial,no,needs_review,not_applicable,dictionary;reference_only,no,needs_legal_review,keep_versioned,dictionary,P2_EVALUATE_LATER,Duy,License mơ hồ; chỉ dùng làm alias/synonym seed sau review.
D_TERMINOLOGY,D_ACRDRAID_VIHEALTHBERT,acrDrAid / ViHealthBERT,"Nguồn abbreviation/keyword y sinh tiếng Việt, hỗ trợ xử lý viết tắt trong dictionary v0.1.",public,terminology,no,yes,no,no,no,partial,no,clear,not_applicable,dictionary;demo;evaluation,no,approved_internal,keep_versioned,dictionary,P1_INGEST_SUBSET,Duy,Dùng làm abbreviation dictionary phụ trợ; không phải clinical IE corpus.
D_TERMINOLOGY,D_LOCAL_MVP_DICTIONARY,Local MVP Dictionary,"Từ điển hẹp nội bộ theo chuyên khoa MVP, gồm symptom, diagnosis, drug, dose, allergy, lab, vital và aliases.",derived_gold,terminology,no,yes,no,no,no,partial,no,internal,synthetic,dictionary;demo;evaluation;training,no_or_simulated,approved_internal,keep_versioned,dictionary,P0_BUILD_NOW,Duy,Bắt buộc cho MVP; mỗi mapping cần review_state và source attribution.
E_NOTE_REFERENCE,E_VIETMED_SUM,VietMed-Sum,"Nguồn dialogue-to-summary y khoa tiếng Việt, hữu ích cho medical conversation summarization và note reference.",public,note_generation,partial,yes,partial,unknown,unknown,partial,summary_only,needs_review,not_applicable,evaluation;demo;reference_only,depends_on_source,needs_legal_review,keep_versioned,bronze;silver;evaluation,P1_INGEST_SUBSET,Duy,Dùng reference summarization; chưa xem là SOAP gold nếu chưa xác minh doctor confirmation và license.
E_NOTE_REFERENCE,E_ACI_BENCH,ACI-Bench,"Benchmark ambient clinical intelligence tiếng Anh, dùng tham khảo cấu trúc visit note và rubric.",public,note_generation,partial,yes,no,yes,yes,partial,yes,needs_review,not_applicable,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,English/domain shift; không dùng trực tiếp cho sản phẩm tiếng Việt nếu chưa Việt hóa và review terms.
E_NOTE_REFERENCE,E_MEDIQA_CHAT,MEDIQA-Chat,"Clinical dialogue summarization tiếng Anh, dùng tham khảo section labels và đánh giá summary/note.",public,note_generation,no,yes,no,yes,yes,partial,summary_only,needs_review,not_applicable,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,Challenge terms cần review; không có audio/timestamp tiếng Việt.
E_NOTE_REFERENCE,E_MTS_DIALOG,MTS-Dialog,"Doctor-patient dialogue tiếng Anh với summaries/notes, dùng structural reference cho dialogue-to-note.",public,note_generation,no,yes,no,yes,yes,partial,yes,needs_review,not_applicable,evaluation;reference_only,depends_on_source,needs_legal_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,"Short dialogs và English; chỉ dùng cấu trúc/rubric, không thay thế gold tiếng Việt."
E_NOTE_REFERENCE,E_MICROSOFT_CLINICAL_VISIT_NOTE_SUMMARIZATION,Microsoft Clinical Visit Note Summarization Corpus,"Corpus synthetic English clinical encounters/visit notes, dùng tham khảo thiết kế synthetic note và section structure.",public,note_generation,no,yes,no,partial,partial,partial,yes,needs_review,not_applicable,reference_only,no_or_simulated,pending_review,keep_versioned,evaluation,P3_REFERENCE_ONLY,Duy,"Synthetic English; dùng reference thiết kế, không thay thế Vietnamese outpatient notes."
E_NOTE_REFERENCE,E_SYNTHETIC_VI_SOAP_REFERENCE,Synthetic Vietnamese Outpatient SOAP-lite Reference Notes,Tập note SOAP-lite tiếng Việt trích từ synthetic encounters để làm reference note generation nội bộ.,derived_gold,note_generation,no,yes,segment,partial,yes,yes,yes,internal,synthetic,training;evaluation;demo,no_or_simulated,approved_internal,keep_versioned,gold;evaluation;audit,P0_BUILD_NOW,Duy,Có thể liên kết 1-1 với A_SYNTHETIC_VI_OUTPATIENT_ENCOUNTERS; tách riêng nếu cần benchmark note generation.
