split,line_no,segment_id,duration_seconds,start_time,end_time,text_len,word_count,english_token_count,number_count,cs_terms_count,cs_terms_count_given,cs_terms_list_size,topic,audio_present,has_original_video_link,has_original_video_title,suspect,suspect_reasons,segment_text_preview,cs_terms_preview
train,13,Med_CS-10-4,9.0,1781483880000.0,1781484360000.0,145,32,45,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Thì trường hợp đấy, bác sĩ sẽ kê đơn kháng sinh, chống viêm cho chị em và hẹn chị em theo dõi xem sự tiến triển của cái nang tuyến Bartholin đấy.",Bartholin
train,14,Med_CS-10-5,5.0,1781485560000.0,1781485800000.0,92,19,30,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Vì vậy, khi chị em có cái triệu chứng, có dấu hiệu của viêm tuyến Bartholin, đừng ngại ngần.",Bartholin
train,15,Med_CS-100-10,12.0,1781489520000.0,1781490180000.0,153,33,41,3,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Còn đối với sản phẩm được nâng cấp mới, đó là Colos IgGOLD thì có 1.047 mg canxi hữu cơ, phải gọi là canxi citrat, cùng với 7 microgram đó là vitamin D3.",citrat
train,16,Med_CS-100-11,12.0,1781490240000.0,1781490900000.0,150,32,44,3,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Như vậy lượng canxi trên một khẩu phần của Colos IgGOLD thì có tăng lên 47 mg và hàm lượng vitamin D3 thì có tăng thêm 1 microgram so với Alpha lipid.,lipid
train,17,Med_CS-100-15,9.0,1781495280000.0,1781495760000.0,114,26,30,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Tuy nhiên ở sữa Alpha lipid thì đã sử dụng công nghệ Alpha Lipid và đã độc quyền ở trên thị trường gần 40 năm qua.,lipid
train,18,Med_CS-100-16,13.0,1781496480000.0,1781497200000.0,198,42,62,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,BioLactol thì ngoài cái công nghệ Alpha lipid bảo vệ thì còn được hấp thụ tăng thêm những cái lactoferrin và cũng như axit mật ngắn để giúp cho cái quá trình bả,lipid
train,19,Med_CS-100-2,8.0,1781483400000.0,1781483820000.0,110,24,33,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Vậy thì bây giờ cùng nhìn lại xem là hai sản phẩm mới của chúng ta, đó là Alpha lipid Lifefly và Colos IgGOLD.",lipid
train,20,Med_CS-100-3,5.0,1781484120000.0,1781484360000.0,98,20,29,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Thì thứ nhất, cùng điểm qua về những điểm giống nhau của hai sản phẩm Colos IgGOLD và Alpha lipid.",lipid
train,21,Med_CS-100-4,7.0,1781485080000.0,1781485440000.0,95,21,26,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Thứ tư là đa dạng về vitamin và khoáng chất, và thứ năm, đó là công nghệ độc quyền Alpha lipid.",lipid
train,22,Med_CS-100-7,11.0,1781487480000.0,1781488080000.0,176,41,58,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Vậy thì khi sử dụng sữa non IgGOLD thì chúng ta có cái hàm lượng kháng thể cao hơn Alpha lipid, nếu chúng ta làm phép trừ thì chúng ta so sánh ra đó là 16 g trê",lipid
train,23,Med_CS-100-9,11.0,1781488920000.0,1781489520000.0,113,25,28,4,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Rồi về hàm lượng canxi và vitamin D3 thì trong khẩu phần Alpha lipid thì có 1.000 mg canxi và có 6 mg vitamin D3.,lipid
train,24,Med_CS-1000-1,8.0,1781482260000.0,1781482680000.0,136,29,45,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"methionin là một axit amin thiết yếu có chứa lưu huỳnh và không được cơ thể tự tổng hợp ra, bắt buộc phải cung cấp bằng đường thực phẩm.",methionin;amin
train,25,Med_CS-1000-2,5.0,1781482740000.0,1781482980000.0,62,13,20,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Vậy thì methionin có nhiều ở trong các cái loại thực phẩm nào?,methionin
train,26,Med_CS-1000-4,10.0,1781485800000.0,1781486340000.0,125,28,43,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Đồng thời là tổng hợp glutathion, đây là một chất chống oxy hóa cực mạnh cho tế bào, ngăn các gốc tự do phá hủy trong tế bào.",glutathion
train,27,Med_CS-1000-6,6.0,1781488860000.0,1781489160000.0,97,20,32,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Thế nhưng nghiên cứu gần đây cho thấy là methionin lại không tốt đối với những bệnh nhân ung thư.,methionin
train,28,Med_CS-1000-7,12.0,1781489220000.0,1781489880000.0,139,32,48,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Bởi vì là các cái tế bào ung thư sẽ sử dụng methionin làm con đường tạo năng lượng để phát triển khối u, phát triển các cái tế bào ung thư.",methionin
train,29,Med_CS-1000-8,10.0,1781489940000.0,1781490480000.0,124,27,38,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Chính vì thế những bệnh nhân ung thư sẽ chế độ ăn sẽ được cung cấp hạn chế ít lượng methionin trong các loại thực phẩm trên.,methionin
train,30,Med_CS-1001-1,7.0,1781482020000.0,1781482380000.0,87,18,27,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Nội dung trong video này sẽ tìm hiểu về sản phẩm methionin được sản xuất tại FT Pharma.,methionin
train,31,Med_CS-1001-11,3.0,1781490120000.0,1781490240000.0,27,5,8,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Tác dụng phụ của methionin.,methionin
train,32,Med_CS-1001-14,5.0,1781491380000.0,1781491620000.0,80,15,22,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Cần tránh dùng methionin liều cao ở người bệnh đang được điều trị bằng Levodopa.,methionin
train,33,Med_CS-1001-15,10.0,1781491740000.0,1781492280000.0,181,38,54,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Hi vọng, qua những chia sẻ trong video này của Trường Anh Farm sẽ giúp quý bạn đọc hiểu rõ hơn về sản phẩm methionin, đồng thời biết cách sử dụng Methionin sao ",methionin
train,34,Med_CS-1001-2,9.0,1781483280000.0,1781483760000.0,143,31,46,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Nếu như bạn quan tâm tới thông tin về methionin cũng như cách sử dụng sản phẩm, thì hãy theo dõi hết video mà Trường Anh Farm chia sẻ dưới đây.",methionin
train,35,Med_CS-1001-3,3.0,1781483760000.0,1781483880000.0,25,4,7,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Thành phần của methionin.,methionin
train,36,Med_CS-1001-4,3.0,1781483940000.0,1781484060000.0,17,3,2,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,methionin 250 mg.,methionin
train,37,Med_CS-1001-5,3.0,1781485260000.0,1781485380000.0,36,7,10,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Công dụng và chỉ định của methionin.,methionin
train,38,Med_CS-1001-6,3.0,1781486520000.0,1781486640000.0,37,7,12,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Cách dùng và liều dùng của methionin.,methionin
train,39,Med_CS-1001-7,3.0,1781487480000.0,1781487600000.0,29,5,7,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Chống chỉ định của methionin.,methionin
train,40,Med_CS-1001-9,5.0,1781488440000.0,1781488680000.0,66,13,21,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Cần thận trọng khi dùng methionin cho người bệnh bị bệnh gan nặng.,methionin
train,41,Med_CS-1004-4,10.0,1781486940000.0,1781487480000.0,162,36,51,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Nó là một tuyến sinh dục nữ vừa làm chức năng nội tiết, đó là tiết ra hóc môn sinh dục, quyết định giới tính chị em phụ nữ chúng ta đó là estrogen và progestero",estrogen;progesteron
train,42,Med_CS-1006-1,8.0,1781482560000.0,1781482980000.0,143,29,44,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tác dụng của estrogen đối với sức khỏe tổng thể, ngày nay mọi người có thể nghe nhiều về các loại nội tiết tố nữ như progesterone hay estrogen.",estrogen;progesteron
train,43,Med_CS-1006-11,9.0,1781487540000.0,1781488020000.0,136,29,38,1,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Các dạng ung thư chỉ xảy ra ở nữ, đặc biệt là ung thư nội mạc tử cung. Estriol E3, loại yếu nhất trong nhóm hormone estrogen là estriol.",hormone;estrogen
train,44,Med_CS-1006-13,8.0,1781488560000.0,1781488980000.0,164,34,50,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tác dụng của estrogen đối với sức khỏe, theo nhiều chuyên gia, estrogen đóng vai trò vô cùng quan trọng đối với chức năng sinh sản và chu kỳ kinh nguyệt của phụ",estrogen
train,45,Med_CS-1006-15,7.0,1781489940000.0,1781490300000.0,140,29,49,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Mặt khác, estrogen còn chịu trách nhiệm bôi trơn âm đạo, ống dẫn trứng, góp phần tăng cường phát triển cho lớp thành cơ bắp ở ống dẫn trứng.",estrogen
train,46,Med_CS-1006-16,8.0,1781490360000.0,1781490780000.0,148,32,51,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Đồng thời điều phối các cơn co thắt tại đây nhằm vận chuyển trứng và tinh trùng. Tử cung, tác dụng của estrogen đối với bộ phận tử cung rất đa dạng.",estrogen
train,47,Med_CS-1006-18,8.0,1781492520000.0,1781492940000.0,141,33,47,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Ngoài ra, chúng còn có công dụng bít sữa sau khi trẻ sơ sinh đã bước vào thời kỳ cai sữa mẹ. estrogen tạo sự khác biệt giữa nam và nữ ra sao?",estrogen
train,48,Med_CS-1006-19,7.0,1781493000000.0,1781493360000.0,117,27,42,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Mặt khác, tác dụng của estrogen còn bao gồm cả việc tạo ra khác biệt về mặt sinh lý cũng như hình thể giữa nam và nữ.",estrogen
train,49,Med_CS-1006-2,9.0,1781483040000.0,1781483520000.0,156,32,48,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tuy nhiên, ít ai hiểu rõ tác dụng của estrogen ảnh hưởng đến sức khỏe tổng thể như thế nào, estrogen là nhóm hormone giới tính được sản sinh từ buồng trứng.",estrogen;hormone
train,50,Med_CS-1006-20,7.0,1781494320000.0,1781494680000.0,117,26,39,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Ví dụ, trong cơ thể phụ nữ, estrogen sẽ góp phần làm xương nhỏ và ngắn hơn, mặt khác xương chậu có xu hướng rộng hơn.",estrogen
train,51,Med_CS-1006-22,8.0,1781496540000.0,1781496960000.0,160,35,53,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Một số cơ quan khác chịu ảnh hưởng bởi tác dụng của estrogen, ngoài những yếu tố đã đề cập bên trên, tác dụng của estrogen còn ảnh hưởng đến một số cơ quan như.",estrogen
train,52,Med_CS-1006-23,11.0,1781497020000.0,1781497620000.0,196,43,66,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Não, hỗ trợ duy trì nhiệt độ cơ thể và tác động đến phần não góp mặt trong quá trình phát triển giới tính, da, cải thiện độ mịn của da, đồng thời gia tăng hàm l",colagen
train,53,Med_CS-1006-24,9.0,1781497920000.0,1781498400000.0,157,36,44,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Gan và tim, hỗ trợ điều tiết việc sản xuất cholesterol ở gan, từ đó bảo vệ các cơ quan hệ tim mạch, cơ thể chịu ảnh hưởng gì từ sự thay đổi nồng độ estrogen.",estrogen
train,54,Med_CS-1006-25,6.0,1781498460000.0,1781498760000.0,123,25,36,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Thông thường, hàm lượng estrogen ở một người phụ nữ có khả năng thay đổi đáng kể trong thời gian ngắn vì nhiều nguyên nhân.",estrogen
train,55,Med_CS-1006-26,7.0,1781498820000.0,1781499180000.0,136,31,46,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tuy nhiên, bạn cần lưu ý không để nồng độ hormone này tăng hoặc giảm quá mức vì có nguy cơ dẫn đến tình trạng rối loạn chức năng cơ thể.",hormone
train,56,Med_CS-1006-27,7.0,1781499240000.0,1781499600000.0,128,26,42,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Những yếu tố khiến nồng độ estrogen giảm có thể là tình trạng buồng trứng suy yếu, tuyến yên hoạt động kém, thai nghén thất bại.",estrogen
train,57,Med_CS-1006-3,9.0,1781483520000.0,1781484000000.0,158,37,53,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Do đó, mọi người còn gọi chúng là nội tiết tố nữ, ngoài khả năng duy trì vẻ đẹp ở phụ nữ, sức khỏe tổng thể cũng có thể chịu sự chi phối của nhóm hormone này.",hormone
train,58,Med_CS-1006-30,5.0,1781500260000.0,1781500500000.0,89,19,27,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"trong khi đó, hàm lượng nội tiết tố nữ estrogen có thể tăng đột biến bởi những nguyên do.",estrogen
train,59,Med_CS-1006-32,6.0,1781501580000.0,1781501880000.0,128,25,36,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Theo một số chuyên gia, ăn quá nhiều những thực phẩm giàu phytoestrogen có thể ảnh hưởng đến hàm lượng hormone này trong cơ thể.",hormone
train,60,Med_CS-1006-34,7.0,1781503200000.0,1781503560000.0,123,25,39,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tình trạng mất cân bằng hormone estrogen có nguy cơ kéo theo một loạt vấn đề sức khỏe, chẳng hạn như kinh nguyệt không đều.",hormone;estrogen
train,61,Med_CS-1006-4,8.0,1781484060000.0,1781484480000.0,130,28,40,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Vậy, bạn đã biết gì về estrogen cũng như tác dụng của estrogen đối với sức khỏe, estrogen là gì, từ giai đoạn tuổi dậy thì trở đi.",estrogen
train,62,Med_CS-1006-5,8.0,1781484480000.0,1781484900000.0,138,29,44,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Hàng tháng, buồng trứng sẽ bắt đầu tiết ra hormone estrogen với mục đích thúc đẩy sự phát triển cũng như duy trì các đặc tính sinh dục nữ.",hormone;estrogen
train,63,Med_CS-1006-6,9.0,1781484960000.0,1781485440000.0,181,37,56,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Ví dụ như ngực hay lông, tóc, điều hòa kinh nguyệt cũng như hệ sinh sản, thông thường, nồng độ estrogen sẽ tăng đột ngột trong nửa đầu chu kỳ kinh nguyệt nhằm k",estrogen
train,64,Med_CS-1006-8,11.0,1781485860000.0,1781486460000.0,179,38,55,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"estrogen là tên gọi chung của một nhóm nội tiết tố nữ gồm Estrone E1, đây là một dạng estrogen yếu, đồng thời Estrone cũng là loại estrogen duy nhất còn lại ở p",estrogen
train,65,Med_CS-1007-1,16.0,1781483460000.0,1781484360000.0,199,30,30,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"A new menstrual cycle begins when the nerve cells of this center secrete a hormone called Gonadotrophin-releasing hormone, GNRH, into the network of blood vesse",cells;hormone
train,66,Med_CS-1007-4,11.0,1781487060000.0,1781487660000.0,125,22,22,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,This in turn stimulates the pituitary to secrete a second hormone which acts on the ovary. This is luteinizing hormone or LH.,hormone
train,67,Med_CS-1008-1,7.0,1781481600000.0,1781481960000.0,110,24,34,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Giới hạn Hayflick là một lý thuyết y sinh chứng minh tại sao cơ thể con người không thể sống lâu quá 125 tuổi.,Hayflick
train,68,Med_CS-1008-2,8.0,1781483220000.0,1781483640000.0,120,26,37,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Cho đến năm 1961 khi một chuyên gia y sinh, Leonard Hayflick thực hiện một khám phá làm thay đổi thế giới y học mãi mãi.",Hayflick
train,69,Med_CS-1008-5,11.0,1781488320000.0,1781488920000.0,188,41,62,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Khi phát hiện ra điều này về các tế bào, Hayflick đã ngừng nghiên cứu các tế bào ung thư và tập trung vào lĩnh vực mà ngày nay được gọi là Gerontology, hay nghi",Hayflick
train,70,Med_CS-1011-14,10.0,1781498220000.0,1781498760000.0,108,22,31,2,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Năm 2012, nhóm nghiên cứu của keratin Stockholm đã mở rộng quy mô, khảo sát 281 người có hội chứng siêu Nam.",keratin
train,71,Med_CS-1011-20,4.0,1781507520000.0,1781507700000.0,27,4,6,0,1,1,1,Pathology & Pathogens,True,True,True,True,duration_mismatch_start_end_gt_1s,"hội chứng Klinefelter, XXY.",Klinefelter
train,72,Med_CS-1012-1,5.0,1781481600000.0,1781481840000.0,65,14,20,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Giới hạn Hayflick, giải mã lý do con người chỉ sống tới 125 tuổi.",Hayflick
train,73,Med_CS-1012-2,5.0,1781482860000.0,1781483100000.0,88,21,28,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Cho đến gần đây, giới hạn Hayflick đã ra đời và khám phá ra một phần bí ẩn của tuổi thọ.",Hayflick
train,74,Med_CS-1012-3,9.0,1781483280000.0,1781483760000.0,129,30,44,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Giới hạn Hayflick là một lý thuyết y sinh chứng minh lý do của sự lão hóa và giới hạn tuổi thọ của con người, tối đa là 125 tuổi.",Hayflick
train,75,Med_CS-1012-4,8.0,1781484360000.0,1781484780000.0,111,24,34,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Năm 1961, một chuyên gia y sinh Leonard Hayflick đã thực hiện một khám phá làm thay đổi thế giới y học mãi mãi.",Hayflick
train,76,Med_CS-1012-5,3.0,1781484780000.0,1781484900000.0,26,5,6,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Đó là hiện tượng Hayflick.,Hayflick
train,77,Med_CS-1012-7,12.0,1781486040000.0,1781486700000.0,181,36,59,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Người càng cao tuổi thì telomeres càng ngắn, mà các telomeres của nguyên bào sợi là nơi sản sinh colagen, thành tố quan trọng giúp xây dựng các khối xương, da, ",colagen
train,78,Med_CS-1012-8,5.0,1781488080000.0,1781488320000.0,81,18,22,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Và từ đây, ý nghĩa khoa học đằng sau quá trình lão hóa đã được Hayflick khám phá.",Hayflick
train,79,Med_CS-1013-7,8.0,1781500500000.0,1781500920000.0,105,24,39,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Việc thở bằng bụng có thể giúp bạn hấp thụ rất nhiều oxy hơn là so với so với thở thông thường bằng ngực.,oxy
train,80,Med_CS-1015-1,5.0,1781482140000.0,1781482380000.0,91,20,27,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Những người thí dụ ở đây tôi nói đồng tính nam là do họ thiếu testosterone, cái này là sai.",testosteron
train,81,Med_CS-1015-11,7.0,1781500020000.0,1781500380000.0,108,23,34,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"là do họ thiếu testosterone, cái này là sai. Hoàn toàn sai, thậm chí là có thể nói là chiều hướng ngược lại.",testosteron
train,82,Med_CS-1015-12,6.0,1781500800000.0,1781501100000.0,83,16,22,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"cho nên cái chuyện testosterone nó không quyết định họ nam, nữ, gay, les, không có.",testosteron
train,83,Med_CS-1015-13,8.0,1781506560000.0,1781506980000.0,96,22,36,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,thì các bạn biết cái hóc môn testosterone nó là hóc môn tăng cơ mà vừa tăng cơ vừa giảm mỡ luôn.,testosteron
train,84,Med_CS-1015-14,11.0,1781512560000.0,1781513160000.0,162,35,55,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"và thường những trường hợp mà tôi gặp á nếu đã quen với cái cái cảm giác mà có hóc môn, những cái testosterone, những hóc môn đồng hóa trong người quá cao như v",testosteron
train,85,Med_CS-1015-2,9.0,1781486460000.0,1781486940000.0,140,32,44,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Có người nghĩ rằng à cái tinh hoàn đó là nơi tạo ra testosterone, hóc môn của nam giới hay là hóc môn của cái giống đực ở trong tự nhiên đó.",testosteron
train,86,Med_CS-1015-3,9.0,1781486940000.0,1781487420000.0,138,32,42,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,thì trong cái tinh hoàn của động vật nó cũng sẽ có một ít cái tập trung những cái testosterone ở trong đó thì ăn vào nó sẽ đưa vào cơ thể.,testosteron
train,87,Med_CS-1015-4,9.0,1781487960000.0,1781488440000.0,128,28,43,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Các bạn biết tại sao không? testosterone bổ sung qua đường uống một thì cái hóc môn đó nó sẽ phân hủy hầu như hoàn toàn bởi gan.,testosteron
train,88,Med_CS-1016-10,9.0,1781508780000.0,1781509260000.0,137,31,50,0,1,1,1,Pathology & Pathogens,True,True,True,True,duration_mismatch_start_end_gt_1s,Phương pháp này thì sẽ không áp dụng đối với trường hợp mà bệnh nhân có bệnh mắt Basedow bởi vì có thể làm cho mắt lồi ra nhiều thêm nữa.,Basedow
train,89,Med_CS-1016-3,11.0,1781489280000.0,1781489880000.0,207,46,75,0,1,1,1,Pathology & Pathogens,True,True,True,True,duration_mismatch_start_end_gt_1s,"Thì đối với bệnh Basedow đây là một cái bệnh lý tự miễn, tức là cơ thể xuất hiện những cái tự kháng thể và những cái tự kháng thể này sẽ kích thích tuyến giáp, ",Basedow
